"","gemeente","VVD","PVV","CDA","D66","GL","SP","PVDA","CU","PVDD","50PLUS","SGP","DENK","FVD","BIJ1","JA21","VOLT","BBB"
"281","tholen",2,-2.5,-2.7,0.6,-1.5,-3.4,0.1,0.0999999999999996,0.4,-1.8,0.0999999999999979,0.1,4.1,0.1,2.4,0.6,1.4
"282","tiel",2,-3.1,-2.4,1.9,-4.2,-2.2,0.2,0.1,0.5,-2.3,0,0,3.6,0.2,2.6,1.6,0.4
"283","tilburg",1.4,-3.3,-2.7,3.2,-4.9,-3.9,0.399999999999999,0.1,0.8,-1.7,0,0,3.9,0.8,1.9,3.1,0.3
"284","tubbergen",1.4,-1.1,-6.40000000000001,-0.399999999999999,-1.6,-2.8,-0.5,0.1,0.1,-1.6,-0.1,0,2.5,0,2.6,0.9,6.7
"285","twenterand",3.1,-0.5,-5.7,0.300000000000001,-1.6,-4.9,0,-0.800000000000001,0.3,-2,0.2,0.1,4.5,0.1,1.8,0.7,4
"286","tynaarlo",-0.700000000000003,-1,-2.5,5.1,-4.7,-2.7,-0.699999999999999,0.0999999999999996,1.1,-1.8,0,0.2,1.9,0.2,1.7,2.3,1.3
"287","tytsjerksteradiel",0.199999999999999,0.300000000000001,-5.8,2.6,-3.9,-3.6,0.3,0,0.7,-1.9,0.0999999999999999,0,5.7,0.2,1.8,1,2.1
"288","uden",3.5,-2,-4.1,3.5,-2.9,-5.5,-0.1,0.1,0.5,-1.7,0,-0.4,3.2,0.2,2.4,1.7,0.8
"289","uitgeest",-3,-0.5,-1.9,3.4,-4,-2.3,-0.3,0,0.6,-2,0,0,2.4,0.2,3.3,2.1,0.8
"290","uithoorn",-3,-2.1,-1.4,3.2,-3.5,-1.6,-0.800000000000001,-0.2,0.6,-2.8,0,0.4,3.9,0.5,3.5,2.2,0.5
"291","urk",-0.1,2.8,-6.4,0,0,-0.5,0,-3.5,0.1,-0.4,-1.7,0.1,7.8,0.1,0.9,0.2,0.1
"292","utrecht",-2.2,-2.3,-1.5,3.5,-7.3,-1.6,-0.2,-0.3,1,-0.9,0,0,1,1.8,1.4,6.7,0.1
"293","utrechtse heuvelrug",-3.2,-1.7,-3.2,4.9,-3.8,-1.3,-0.3,0.5,2,-1.6,-0.4,0.1,1.4,0.3,2.2,3.2,0.5
"294","vaals",2.3,-3.4,-2.7,2.6,-2.3,-5.8,2.6,0,0.7,-3.9,0.1,0.2,4.3,0.2,1.7,1.4,1
"295","valkenburg aan de geul",3.8,-2.8,-5.1,1.3,-3.1,-4.1,4.2,0,1.1,-3.5,0,0,3.1,0.1,2.1,1.7,0.5
"296","valkenswaard",3.4,-2.5,-3.7,3,-2.7,-4.5,0.8,-0.1,0.5,-2.9,0,0,3.2,0.2,2.3,1.8,0.6
"297","veendam",3.3,-1.3,-2.5,1.2,-4,-6.5,1.7,0,0.4,-2.6,0,-0.3,5.6,0.2,2.1,0.9,1.4
"298","veenendaal",2.7,-2.1,-4.2,1.4,-2.3,-1.9,0,0.200000000000001,0.2,-1.6,-0.4,-0.6,3.2,0.3,2.4,1.2,0.4
"299","veere",-0.300000000000001,0.399999999999999,-3.7,2.3,-2.9,-2.5,0.399999999999999,0,0.6,-1.3,-0.300000000000001,0,2.4,0.1,2.2,1.1,1.3
"300","veldhoven",4.9,-2.9,-4.1,2.6,-2.9,-5.1,0.5,0,0.2,-2.3,0,0.1,3.2,0.2,2.1,2.4,0.3
"301","velsen",-0.199999999999999,-2.3,-2,3.2,-3.7,-1.8,-0.6,-0.2,0.5,-3,0,-0.0999999999999999,3.9,0.3,2.9,2.1,0.3
"302","venlo",2.2,-1.9,-3.2,3,-2.9,-5.3,2.3,0,0.6,-3.1,0.1,0.1,3.6,0.2,2,1.5,0.4
"303","venray",2.6,0,-4.7,3,-2.1,-7.9,1.2,-0.1,0.7,-1.9,-0.1,-0.5,3.4,0.2,1.9,1.7,2.1
"304","vijfheerenlanden",1.8,-2.2,-3.3,2.7,-2.6,-2,-0.300000000000001,0.3,0.2,-1.8,-0.4,-0.4,3.1,0.3,2.3,1.3,0.8
"305","vlaardingen",2,-4.7,-2.9,3,-3.2,-2.1,0,0.1,0.4,-2.8,-0.1,0.3,3.3,0.4,3.5,1.4,0.2
"306","vlieland",-3.3,-1.3,-0.899999999999999,3.7,-5.1,-0.2,-0.6,-0.8,1.5,-2.3,-1,0,2.5,0.6,3.2,3,0.6
"307","vlissingen",2.1,-3.9,-2.5,2.5,-4.4,-4.5,1.3,0,0.2,-2.4,0.1,0.1,5.3,0.4,2.5,1.5,0.6
"308","voerendaal",3.7,-2.2,-5.7,1.6,-2.5,-5.9,3.8,0.3,1.3,-3.3,0,0,3.6,0.2,2.1,1.5,0.7
"309","voorschoten",-2.7,-1.8,-2.1,4.1,-3.3,-1.2,-1.2,0,0.7,-1.2,0,0.1,1.4,0.4,3,3.4,0.2
"310","voorst",0.899999999999999,-0.800000000000001,-5.2,1.8,-2.1,-3.7,-1.1,0.7,0.7,-2.3,-0.0999999999999999,0,1.9,0.1,2.1,1.7,4.9
"311","vught",0,-1.9,-3.1,5.9,-3.9,-3.6,-0.4,0.2,0.8,-1.8,-0.1,0.1,1.9,0.3,1.8,2.7,0.5
"312","waadhoeke",-0.100000000000001,-0.699999999999999,-4,1.6,-4.9,-3.6,1.3,0.2,0.3,-2.3,0,0.1,5.7,0.1,1.8,1.3,3
"313","waalre",-0.600000000000001,-2.4,-3.5,5.4,-2.4,-3.1,-0.300000000000001,-0.1,0.3,-2.2,0,0.1,1.6,0.3,2,3.7,0.2
"314","waalwijk",2.6,-1.7,-3.6,2.9,-2.8,-3.6,0.2,0,0.5,-2.8,0.2,-0.3,3.6,0.1,2.4,1.2,0.5
"315","waddinxveen",1.7,-2.6,-4.3,2.1,-3.1,-1.4,-0.300000000000001,0.100000000000001,0.6,-2.1,-0.100000000000001,0,3.4,0.2,3.3,1.4,0.4
"316","wageningen",-0.899999999999999,-0.9,-1.9,-0.599999999999998,-5.9,-2.3,-0.0999999999999996,-0.7,1.6,-1.1,-0.2,0.2,1.5,1.1,1.4,8,0.3
"317","wassenaar",-4.8,-1,-2.4,5.1,-2.1,-0.6,-0.5,0,0.4,-1.7,-0.2,0.1,0.7,0.2,3.1,2.8,0.4
"318","waterland",-1.2,-1.8,-3.9,4.1,-3.9,-1.9,-1.1,0,0.899999999999999,-2.1,0,0.1,1.9,0.6,3.4,3,1.2
"319","weert",2.7,-3.2,-3.7,1.8,0.2,-5.1,1.5,0,0.4,-3.5,0,-0.3,3.4,0.2,2.6,1.7,0.7
"320","weesp",0.199999999999999,-2.7,-2.4,5.4,-5.5,-1.8,-0.5,0,1.2,-3.1,-0.1,0.7,1.7,0.7,2.2,3.3,0.6
"321","west betuwe",0.699999999999999,-3.1,-3.6,2.4,-2.2,-1.8,-0.4,0.4,0.5,-2,-0.0999999999999996,0,3.4,0.2,2.8,1.5,1.1
"322","west maas en waal",3.1,-1.6,-3,2.3,-2.5,-4.9,-0.3,0.3,0.5,-2.3,0,0.1,2.7,0.1,2.7,1.2,1.5
"323","westerkwartier",0.400000000000002,-0.5,-4.7,2.7,-3.5,-4.1,0.0999999999999996,-0.9,0.6,-1.8,0,0,3.7,0.2,1.8,1.4,4.3
"324","westerveld",-2.1,-0.5,-2.9,3,-3.6,-3.3,-0.799999999999999,0,1.8,-2.7,0,0.1,2.7,0.1,2.6,1.6,3.2
"325","westervoort",3.2,-1.1,-3,2.3,-3.7,-4.7,0.4,-0.1,0.8,-3.1,0,0.1,3.1,0.2,2.3,1.6,0.4
"326","westerwolde",1.8,-1.6,-3.1,1.8,-2.8,-6.6,1,-0.3,0.6,-3,0,0.3,5.6,0.3,1.9,0.9,3.1
"327","westland",-1.3,-2.8,-5.5,2.5,-2.1,-0.6,-0.2,0.1,0.4,-1.7,-0.1,0.1,3.9,0.1,4.5,1.3,0.4
"328","weststellingwerf",0.900000000000002,-0.700000000000001,-3.4,1.7,-4.3,-4.5,0.399999999999999,-0.3,0.8,-2.6,0.1,-0.1,5.1,0.1,2.2,1.2,3.2
"329","westvoorne",-1.5,-3,-3.1,2.9,-2.1,-1,-0.199999999999999,0.3,0.2,-2.5,-0.1,0,3.2,0.1,4.7,1.4,0.7
"330","wierden",1.6,-1.8,-5.2,0.399999999999999,-1.8,-2.8,-0.1,0.0999999999999996,0.2,-1.3,0.1,0,3.1,0.1,2.6,0.7,3.4
"331","wijchen",3,-2.3,-2.8,2.7,-3.2,-4.8,0,0.1,0.6,-2.1,0,0.2,2.7,0.2,2.8,1.8,0.7
"332","wijdemeren",-2.8,-0.4,-2.8,3.5,-2.8,-1.2,-1,0.2,0.6,-2.2,-0.1,0,2.3,0.3,3,2.2,0.8
"333","wijk bij duurstede",0.800000000000001,-2.4,-2.9,3,-4.5,-2.7,-0.100000000000001,-0.1,1,-1.5,0,0.1,3.2,0.2,2.7,2.2,0.7
"334","winterswijk",0.199999999999999,-0.600000000000001,-2.7,2.9,-4.7,-4.5,-0.199999999999999,-0.1,0.4,-2.6,0,-0.1,3,0.1,2.1,1.3,5
"335","woensdrecht",4.6,-4.2,-4.3,2,-2.4,-4.2,0.8,0.1,0.6,-2.6,-0.1,0.1,4.3,0.2,3.3,1.1,0.8
"336","woerden",-0.100000000000001,-1.8,-3.2,3.3,-3.4,-1.6,-1,-0.3,0.5,-0.8,-0.4,0.0999999999999999,1.8,0.3,2.7,2.2,0.8
"337","wormerland",-0.899999999999999,-1.7,-2.2,4.8,-5.2,-2.3,-0.7,0.3,1.4,-2.7,0,0.3,2.3,0.3,2.4,1.9,1.4
"338","woudenberg",0.199999999999999,-2,-3.6,1.6,-1.9,-1.6,-0.3,0.300000000000001,0.6,-1.5,-0.399999999999999,0.1,3.7,0.1,2.1,1.1,0.8
"339","zaanstad",-0.199999999999999,-2.2,-1.7,3.1,-4.6,-2.8,0.5,-0.2,0.600000000000001,-2.7,0,-0.3,3.6,0.9,2.3,1.8,0.4
"340","zaltbommel",0.900000000000002,-1.4,-3.2,2.2,-2.1,-2.3,-0.3,-0.5,0.5,-1.6,-0.4,0.3,2.8,0.2,2.1,1.8,0.5
"341","zandvoort",-1.7,-1.2,-0.9,2.6,-3.2,-1.5,-0.5,0.1,0.2,-3.1,0,0.1,2.9,0.3,3.5,2.2,0.2
"342","zeewolde",-1.6,-1,-3.3,2.1,-2.4,-2.1,-0.1,-1.4,0.2,-1.7,0,0,4.4,0.1,3.8,1.9,1.3
"343","zeist",-1.9,-2.4,-2.2,5.3,-4.1,-1.7,-0.8,-0.0999999999999996,1.1,-1.5,-0.4,0.2,1.7,0.5,1.9,3.5,0.2
"344","zevenaar",3.6,-1.6,-3.4,2.2,-2.9,-4.9,0.3,0.1,0.6,-2.8,0,-0.1,3.3,0.2,2.4,1.3,1
"345","zoetermeer",1.6,-3.3,-3.1,2.6,-3.8,-1.8,-0.5,0.0999999999999996,0.3,-2.6,-0.1,0.5,3.6,0.4,2.9,1.8,0.3
"346","zoeterwoude",0,-1.1,-4.6,3.3,-3.4,-1.3,-1.3,0.4,0.6,-2.5,-0.1,0.1,2.2,0.2,2.4,2.4,2.6
"347","zuidplas",-0.199999999999999,-2.7,-3.4,2.6,-2.7,-1.9,-0.2,0.4,0.5,-1.6,-0.8,0.3,3.1,0.2,3.8,1.6,0.4
"348","zundert",5,-4.3,-4.5,2.6,-2.7,-3.6,0.3,0.1,0.3,-2.1,0,0,3,0.2,2.6,1.2,2.4
"349","zutphen",0.899999999999999,-1.4,-2.3,3.9,-5.4,-4.6,-0.300000000000001,-0.1,1.5,-2,0,-0.1,3.3,0.4,1.7,2.5,1.1
"350","zwartewaterland",1.5,-0.399999999999999,-5,1.1,-1.2,-1.7,-0.2,-0.800000000000001,0.2,-1.2,0.300000000000001,0.1,3.3,0,1.8,0.7,1.4
"351","zwijndrecht",2.8,-3.8,-3.5,2.7,-2.9,-2.5,0.3,0.2,0.0999999999999996,-2.6,-0.3,-0.2,3.6,0.3,3.3,1,0.2
"352","zwolle",0.300000000000001,-1.3,-2.8,3.8,-3.6,-3.2,-0.6,-1.1,0.9,-1.8,0,0.1,2.7,0.6,1.7,2.9,0.5
