"","gemeente","VVD","PVV","CDA","D66","GL","SP","PVDA","CU","PVDD","50PLUS","SGP","DENK","FVD","BIJ1","JA21","VOLT","BBB"
"159","koggenland",-2.8,-1.3,-1.9,2.5,-3,-1.8,-0.5,0,0.4,-2.4,-0.2,0,3.5,0.2,3,1.4,3
"160","krimpen aan den ijssel",0.199999999999999,-4,-3.1,2.3,-2.2,-1.2,-0.5,0.5,0.4,-1.9,-0.399999999999999,0.4,3.1,0.2,4,1.2,0.2
"161","krimpenerwaard",-0.100000000000001,-3,-3.1,2.4,-2.8,-1.7,-0.3,0.4,0.3,-1.8,-0.4,0.1,3.2,0.2,3.8,1.3,1.3
"162","laarbeek",4.2,-3,-3.9,1.9,-2.1,-6.4,0.5,0.3,0.6,-1.5,0,0.1,3.4,0.1,2.4,1.7,1.2
"163","landerd",5.7,-1.8,-5.2,2.2,-2.2,-5.6,0.2,0.1,0.5,-1.8,0,0.1,2.1,0.1,2.3,1.6,1.6
"164","landgraaf",4.1,-2.9,-3.8,0.700000000000001,-2.5,-6.5,2.9,0,0.5,-3.7,0,0.1,7.6,0.2,1.6,0.9,0.3
"165","landsmeer",-2.7,-0.699999999999999,-1.4,3,-4.3,-3,-0.8,0.1,1.4,-2.3,0,0.1,2.6,0.7,3.2,2.3,0.5
"166","langedijk",-1.8,-1.5,-1.5,2.4,-4.3,-1.8,-0.5,-0.1,0.5,-2.2,-0.1,0,4.4,0.2,2.9,1.8,0.9
"167","lansingerland",-1.5,-3.1,-3.5,4.1,-2.1,-1.1,-0.7,-0.4,0.3,-1.5,-0.1,0.2,2.1,0.4,3.9,1.8,0.5
"168","laren",-7.6,-0.5,-0.0999999999999996,4.9,-2.7,-0.9,-0.2,0.2,1,-1.5,0.1,0.1,1.4,0.1,2.6,3.1,0.2
"169","leeuwarden",0.4,-0.700000000000001,-3,3.2,-5.7,-4.3,0.4,-0.2,0.8,-2.1,0,0.2,4.5,0.6,1.8,2.6,0.8
"170","leiderdorp",-0.300000000000001,-1.8,-2.8,2.5,-3.2,-1.3,-0.5,0.3,0.9,-2,-0.3,0,1.3,0.3,2.8,3,0.2
"171","leidschendam-voorburg",-0.300000000000001,-2.7,-3.5,3.9,-3.2,-0.8,-0.7,-0.1,0.5,-2.1,-0.1,0.0999999999999999,1.7,0.4,2.5,2.9,0.5
"172","lelystad",1.7,-3.2,-2.4,2.2,-4.4,-2.6,0,-0.3,0.4,-3.2,0,0.3,5.6,0.7,2.5,1.4,0.5
"173","leudal",3.1,-1.3,-4.7,0,-1.3,-4.9,2.2,0.1,0.3,-3,0,0,2.7,0.1,2.4,1.3,2.7
"174","leusden",-1.8,-0.7,-3.9,4,-3.9,-1,-0.399999999999999,0.0999999999999996,1,-1.6,-0.2,0,1.5,0.2,2.6,2.8,0.7
"175","lingewaard",3,-1.3,-3.3,3,-3.3,-3.9,0.399999999999999,-0.1,0.5,-2.5,0,0,2.6,0.2,2.2,1.5,0.6
"176","lisse",-1.2,-1,-3.5,3.4,-2.9,-1.2,-0.1,0.3,0.3,-2.6,-0.4,0.1,2.7,0.3,3.4,1.8,0.4
"177","lochem",-2.3,-1.2,-4.1,2.5,-4.6,-2.6,0,0.3,1.1,-1.9,-0.1,-0.4,2.4,0.2,2,2.4,6
"178","loon op zand",3.5,-2.5,-3.5,3.2,-3,-4,0.7,0,0.4,-2.4,0,-0.1,3.1,0.2,2.4,1.2,0.7
"179","lopik",0.800000000000001,-3.8,-4.2,2,-2,-1.4,-0.3,-0.600000000000001,0.3,-1.6,-0.9,0,4.5,0.2,3.4,1.1,2.4
"180","losser",2.5,-0.6,-4,-0.300000000000001,-2.6,-4.2,0.3,-0.1,0.5,-2.5,0,-0.1,4,0.1,2.4,1.2,2.7
"181","maasdriel",4.5,-3.1,-7.4,3.3,-2.1,-2.7,0.1,0,0.3,-2,-0.0999999999999999,0,3.5,0.1,3,1.4,0.8
"182","maasgouw",3.6,-1.7,-4.2,2.6,-2.7,-5.5,2.7,0,0.7,-3.7,0,0.1,3.5,0.1,2.3,1.2,0.9
"183","maassluis",2.2,-5,-3.6,2.6,-2.9,-1.3,-0.100000000000001,0.2,0.2,-2.6,0.1,0.4,3.3,0.2,3.7,1.4,0.2
"184","maastricht",1.9,-2.7,-3.6,2.1,-4.7,-4.7,4.4,0,0.600000000000001,-2.7,0,0,3,0.6,1.6,3.2,0.1
"185","medemblik",-1.6,-1.3,-2.3,2.5,-3.1,-2,-0.800000000000001,0,0.4,-2.7,-0.1,-0.1,4.1,0.2,3.2,1.5,1.5
"186","meerssen",4.8,-3.3,-5.3,2.1,-3.3,-4.7,4.6,0.2,1,-3.4,0.1,0,3.2,0.2,1.7,1.2,0.5
"187","meierijstad",3.9,-1.5,-4.9,3.1,-2.8,-5,0.3,0.1,0.4,-2.1,0,-0.2,3.1,0.2,2.3,1.6,1.1
"188","meppel",0.199999999999999,-0.4,-2.8,2.6,-4.6,-3.7,-0.4,-0.3,1.1,-2.2,0.1,-0.1,3,0.3,3.3,1.7,1.2
"189","middelburg",1.7,-1.9,-2.5,3.6,-5,-4.3,1,-0.4,0.7,-1.6,0,-0.0999999999999999,3.5,0.3,1.9,1.8,0.4
"190","midden-delfland",-1.4,-1.6,-4.6,3.8,-2.7,-0.8,-0.8,-0.2,0.4,-1.5,0,0.2,1.2,0.1,4.1,2.3,0.9
"191","midden-drenthe",-0.100000000000001,-0.699999999999999,-4,1.8,-3.7,-4.4,0.4,-0.0999999999999996,0.6,-2.4,0.1,0.1,3.8,0.1,2.1,1.1,4.7
"192","midden-groningen",2.6,-1.1,-2.4,2.5,-4.3,-5.7,0.9,0,0.3,-2.8,0.1,-0.2,4.3,0.2,1.7,1.1,2
"193","mill en sint hubert",5.8,-1.1,-2.7,2.9,-2.4,-10.1,-0.1,-0.1,0.6,-1.9,-0.1,0,2.4,0.1,2,1.3,3
